code,scan_date,trade_date,scan_cond,trade_cond,today_rise,rb_score,ret_oc,ret_max,ret_low
3205,2026-02-10,2026-02-12,NORMAL,NORMAL,-7.35,6,0.74,3.27,0.0
3222,2025-10-08,2025-10-09,NORMAL,NORMAL,-4.52,8,0.56,0.56,-0.45
3222,2026-02-26,2026-02-27,NORMAL,NORMAL,-4.07,3,-1.94,0.32,-3.24
3231,2025-10-31,2025-11-04,NORMAL,NORMAL,-4.74,4,-1.64,0.11,-2.03
3237,2026-03-16,2026-03-17,NORMAL,NORMAL,-11.94,8,0.0,1.69,0.0
323A,2025-10-16,2025-10-17,NORMAL,WEAK,-11.29,9,-8.68,0.0,-8.68
3245,2025-11-26,2025-11-27,NORMAL,NORMAL,-5.44,3,0.36,1.8,-0.36
3246,2026-01-29,2026-01-30,NORMAL,NORMAL,-9.33,9,-1.62,0.89,-1.62
3248,2025-10-30,2025-10-31,NORMAL,NORMAL,-6.08,7,-1.18,0.82,-2.94
324A,2025-12-15,2025-12-16,NORMAL,WEAK,-11.46,8,-3.73,0.31,-4.56
3252,2026-02-13,2026-02-16,WEAK,NORMAL,-4.32,3,-3.68,0.0,-4.12
325A,2025-10-16,2025-10-17,NORMAL,WEAK,-14.03,4,-13.65,0.69,-15.94
325A,2025-10-17,2025-10-20,WEAK,NORMAL,-12.24,8,11.39,11.39,-0.25
325A,2025-11-25,2025-11-26,NORMAL,NORMAL,-4.92,3,3.11,3.11,0.0
325A,2025-12-11,2025-12-12,WEAK,NORMAL,-4.4,3,1.54,1.93,-0.26
325A,2026-01-14,2026-01-15,NORMAL,NORMAL,-13.1,3,-1.67,1.08,-1.67
3261,2025-12-22,2025-12-23,NORMAL,NORMAL,-25.19,10,0.0,0.0,0.0
3261,2025-12-24,2025-12-25,NORMAL,NORMAL,-9.58,10,-0.3,0.3,-0.74
3261,2025-12-29,2025-12-30,NORMAL,WEAK,-8.46,9,-1.49,0.5,-2.32
3266,2026-02-13,2026-02-16,WEAK,NORMAL,-5.0,3,6.36,12.73,-3.64
3267,2025-10-16,2025-10-17,NORMAL,WEAK,-7.4,5,-0.44,1.88,-2.77
3267,2026-01-05,2026-01-06,NORMAL,NORMAL,-4.86,3,0.79,1.68,-0.3
3271,2025-11-10,2025-11-11,NORMAL,NORMAL,-11.48,8,1.21,2.96,-1.1
3271,2026-02-09,2026-02-10,NORMAL,NORMAL,-6.47,4,3.52,4.29,-0.11
3299,2025-11-14,2025-11-17,NORMAL,NORMAL,-5.47,7,-2.38,0.21,-3.05
3302,2026-02-16,2026-02-17,NORMAL,NORMAL,-7.38,4,-0.64,0.97,-1.74
330A,2026-02-04,2026-02-05,NORMAL,NORMAL,-4.44,4,2.38,2.88,-0.38
330A,2026-02-13,2026-02-16,WEAK,NORMAL,-16.93,8,-4.11,2.79,-8.96
330A,2026-02-16,2026-02-17,NORMAL,NORMAL,-11.28,9,-4.22,1.81,-4.83
330A,2026-02-19,2026-02-20,NORMAL,WEAK,-5.43,7,1.8,1.8,-1.97
3315,2025-10-07,2025-10-08,NORMAL,NORMAL,-5.26,5,1.11,4.44,0.0
3320,2026-01-29,2026-01-30,NORMAL,NORMAL,-5.13,6,1.7,2.22,-0.15
3323,2025-10-08,2025-10-09,NORMAL,NORMAL,-8.7,3,0.0,1.89,-0.94
3323,2025-11-10,2025-11-11,NORMAL,NORMAL,-13.76,6,-2.15,1.08,-3.23
3323,2025-11-14,2025-11-17,NORMAL,NORMAL,-6.25,5,-2.22,1.11,-4.44
3323,2026-02-20,2026-02-24,WEAK,NORMAL,-5.26,5,3.3,4.4,0.0
332A,2026-02-06,2026-02-09,NORMAL,NORMAL,-5.23,3,-0.77,0.51,-1.97
332A,2026-03-26,2026-03-27,WEAK,NORMAL,-4.91,3,4.83,5.59,0.0
3349,2025-10-15,2025-10-16,NORMAL,NORMAL,-9.82,8,0.26,1.64,-0.99
3349,2026-01-16,2026-01-19,NORMAL,NORMAL,-5.17,9,2.85,5.38,-0.02
334A,2026-02-13,2026-02-16,WEAK,NORMAL,-11.35,9,4.12,4.43,-0.56
3350,2025-10-15,2025-10-16,NORMAL,NORMAL,-4.56,4,-3.37,1.35,-4.49
3350,2025-10-16,2025-10-17,NORMAL,WEAK,-6.52,5,-0.74,7.9,-4.44
3350,2025-10-17,2025-10-20,WEAK,NORMAL,-6.51,6,12.1,13.09,-2.22
3350,2025-10-21,2025-10-22,NORMAL,NORMAL,-6.61,5,-0.94,2.59,-1.42
3350,2025-11-04,2025-11-05,NORMAL,WEAK,-8.35,3,2.8,3.5,-3.73
3350,2025-11-13,2025-11-14,NORMAL,NORMAL,-6.59,3,3.09,3.61,0.0
3350,2025-11-21,2025-11-25,NORMAL,NORMAL,-7.75,6,-0.82,1.09,-2.17
3350,2025-12-02,2025-12-03,WEAK,WEAK,-6.05,4,4.53,4.8,-0.8
3350,2026-01-30,2026-02-02,NORMAL,NORMAL,-4.82,4,2.03,6.35,0.0
3350,2026-02-02,2026-02-03,NORMAL,NORMAL,-7.37,5,0.0,1.23,-3.69
3350,2026-02-05,2026-02-06,NORMAL,NORMAL,-7.69,7,10.03,10.68,-0.65
3350,2026-02-06,2026-02-09,NORMAL,NORMAL,-5.56,7,-4.05,0.27,-7.3
3350,2026-02-12,2026-02-13,NORMAL,WEAK,-5.87,7,-1.52,2.42,-1.52
3350,2026-02-19,2026-02-20,NORMAL,WEAK,-4.91,7,4.25,5.88,-0.65
3350,2026-02-24,2026-02-25,NORMAL,NORMAL,-5.96,6,1.36,3.39,-3.73
3355,2026-02-13,2026-02-16,WEAK,NORMAL,-6.25,5,-1.42,0.3,-1.84
3358,2026-02-16,2026-02-17,NORMAL,NORMAL,-5.83,3,-1.02,0.0,-1.02
335A,2025-12-08,2025-12-09,NORMAL,NORMAL,-7.05,8,5.16,5.16,0.0
335A,2026-02-16,2026-02-17,NORMAL,NORMAL,-6.08,3,-1.7,2.19,-1.95
336A,2025-11-14,2025-11-17,NORMAL,NORMAL,-10.74,8,3.08,3.08,-1.3
336A,2025-11-20,2025-11-21,NORMAL,NORMAL,-5.78,7,-0.9,0.9,-3.6
336A,2025-11-25,2025-11-26,NORMAL,NORMAL,-5.06,6,-3.02,0.79,-4.2
336A,2025-12-01,2025-12-02,WEAK,WEAK,-4.68,6,-5.4,1.31,-5.99
336A,2025-12-02,2025-12-03,WEAK,WEAK,-6.49,7,2.66,2.97,-1.25
336A,2025-12-05,2025-12-08,WEAK,NORMAL,-4.41,6,0.92,1.54,0.0
336A,2025-12-09,2025-12-10,NORMAL,NORMAL,-8.84,9,-0.85,2.37,-1.19
336A,2025-12-11,2025-12-12,WEAK,NORMAL,-5.13,7,-1.6,0.18,-2.14
336A,2025-12-17,2025-12-18,NORMAL,NORMAL,-4.09,7,1.67,2.41,-1.48
336A,2026-02-13,2026-02-16,WEAK,NORMAL,-5.57,3,10.9,11.6,-0.7
336A,2026-03-26,2026-03-27,WEAK,NORMAL,-7.14,5,1.15,1.97,-1.32
3370,2025-10-15,2025-10-16,NORMAL,NORMAL,-14.31,3,-11.3,3.04,-14.57
3370,2025-12-04,2025-12-05,NORMAL,WEAK,-6.65,7,-0.3,0.0,-1.19
3371,2025-11-05,2025-11-06,WEAK,NORMAL,-4.71,5,-0.49,0.54,-1.18
3372,2026-01-22,2026-01-23,NORMAL,NORMAL,-5.37,3,-2.14,0.0,-2.56
3377,2025-10-06,2025-10-07,NORMAL,NORMAL,-9.86,3,-1.31,1.53,-1.96
3377,2025-10-30,2025-10-31,NORMAL,NORMAL,-4.75,5,-0.51,3.29,-0.76
338A,2025-11-05,2025-11-06,WEAK,NORMAL,-4.62,3,-5.08,1.54,-6.47
338A,2025-11-13,2025-11-14,NORMAL,NORMAL,-9.34,5,-0.81,6.76,-0.81
338A,2025-11-25,2025-11-26,NORMAL,NORMAL,-7.17,5,11.28,14.06,-0.87
338A,2025-12-24,2025-12-25,NORMAL,NORMAL,-4.68,3,4.19,6.59,-0.2
338A,2025-12-29,2025-12-30,NORMAL,WEAK,-4.03,3,-2.84,0.81,-2.94
