type,score_min,score_max,ratio_min,ratio_max,rise_lo,rise_hi,rb_min,gap_max,tp,sl,cond,top_n,ls_min,vd_req,cd_min,in_sharpe,out_sharpe,out_n,out_wr,out_avg,out_cum,stable
AB(複合),0.0,10.0,0.3,6.2,-6.0,4.8,3.2,9.4,8.9,-7.0,STRONG,全件,0.0,0,3,5.0,4.311,916,62.4,0.549,503.1,★
AB(複合),2.0,6.4,0.0,4.9,-13.2,4.3,2.2,2.3,5.2,-7.0,STRONG,全件,0.07,0,0,5.0,4.309,1403,62.9,0.558,782.9,★
AB(複合),0.0,10.0,0.6,35.6,-9.0,6.4,0.4,6.4,3.1,-6.5,STRONG,全件,0.09,0,1,5.0,4.305,4834,63.8,0.492,2379.6,★
AB(複合),0.4,9.0,0.6,50.0,-5.6,9.7,3.4,10.0,9.6,-7.0,STRONG,全件,0.06,0,1,5.0,4.301,1507,62.7,0.556,838.3,★
AB(複合),6.0,9.4,0.0,3.0,-14.3,3.0,3.3,1.5,7.6,-3.0,STRONG,全件,0.0,0,0,5.0,4.3,86,67.4,1.229,105.7,★
AB(複合),0.0,5.8,0.0,19.6,-6.0,6.1,2.6,2.7,3.0,-3.8,STRONG,全件,0.16,0,1,5.0,4.293,1500,60.8,0.468,702.2,★
AB(複合),0.0,9.0,0.4,3.0,-3.9,8.4,5.1,1.1,9.2,-6.8,STRONG,全件,0.0,0,1,5.0,4.291,311,62.7,0.583,181.3,★
AB(複合),0.2,9.9,0.0,36.9,-12.7,9.1,0.5,3.2,9.2,-4.4,STRONG,全件,0.24,0,2,5.0,4.288,1493,62.7,0.529,789.1,★
AB(複合),1.0,8.3,0.0,34.7,-4.0,4.7,3.8,1.5,4.1,-3.8,STRONG,全件,0.02,0,3,5.0,4.284,345,62.0,0.475,163.9,★
AB(複合),0.4,8.1,0.0,44.6,-15.0,6.0,1.4,10.0,2.9,-6.1,STRONG,全件,0.0,0,1,5.0,4.279,4760,63.8,0.496,2361.9,★
AB(複合),1.8,10.0,0.0,5.3,-8.9,9.0,4.7,2.8,6.2,-6.5,STRONG,全件,0.06,0,2,5.0,4.274,395,63.8,0.634,250.4,★
