scan_date,code,name,score,trend,accel,ratio,actual_top20,market_condition
2026-03-13,7743,シード,8.25,76.42,2067.42,6.74,0.0,NORMAL
2026-03-13,5461,中部鋼鈑,8.23,43.14,511.1,6.68,0.0,NORMAL
2026-03-13,2776,新都ホールディングス,8.09,50.92,421.64,6.27,0.0,NORMAL
2026-03-13,1776,三井住建道路,8.02,64.48,835.56,6.05,0.0,NORMAL
2026-03-13,9130,共栄タンカー,8.0,23.69,268.6,8.82,0.0,NORMAL
2026-03-13,5032,ＡＮＹＣＯＬＯＲ,7.9,46.97,577.14,5.71,0.0,NORMAL
2026-03-13,1844,大盛工業,7.83,63.92,1597.87,5.5,0.0,NORMAL
2026-03-13,2734,サーラコーポレーション,7.8,35.81,596.13,5.41,0.0,NORMAL
2026-03-16,9212,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,8.94,69.76,3406.14,8.81,0.0,NORMAL
2026-03-16,206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,8.93,78.54,3400.68,8.8,0.0,NORMAL
2026-03-16,7692,アースインフィニティ,8.75,64.15,595.6,8.26,0.0,NORMAL
2026-03-16,9556,ＩＮＴＬＯＯＰ,8.74,66.34,650.81,8.21,0.0,NORMAL
2026-03-16,4438,Ｗｅｌｂｙ,8.32,38.61,553.81,6.95,0.0,NORMAL
2026-03-16,4664,アール・エス・シー,8.31,68.99,2138.43,6.92,0.0,NORMAL
2026-03-16,4934,プレミアアンチエイジング,8.05,72.47,735.64,6.15,0.0,NORMAL
2026-03-16,4979,ＯＡＴアグリオ,7.95,54.07,350.61,5.85,0.0,NORMAL
2026-03-16,7743,シード,7.86,70.62,2262.17,5.59,0.0,NORMAL
2026-03-16,1433,ベステラ,7.81,58.93,1089.93,5.43,0.0,NORMAL
2026-03-16,4031,片倉コープアグリ,7.8,51.9,429.03,5.39,0.0,NORMAL
2026-03-16,9130,共栄タンカー,7.7,44.97,543.7,5.11,1.0,NORMAL
2026-03-16,4890,坪田ラボ,7.67,64.5,172.03,8.83,0.0,NORMAL
2026-03-16,2929,ファーマフーズ,7.64,59.62,929.5,4.93,0.0,NORMAL
2026-03-16,3803,イメージ情報開発,7.57,63.05,1168.78,4.71,1.0,NORMAL
2026-03-16,9514,エフオン,7.55,55.42,1319.42,4.66,0.0,NORMAL
2026-03-16,8835,太平洋興発,7.53,65.09,710.93,4.6,0.0,NORMAL
2026-03-16,7375,リファインバースグループ,7.46,56.95,385.43,4.39,0.0,NORMAL
2026-03-16,6336,石井表記,7.46,53.72,535.39,4.38,0.0,NORMAL
2026-03-16,4263,サスメド,7.45,43.91,271.99,5.18,0.0,NORMAL
2026-03-17,6190,フェニックスバイオ,10.0,92.42,9941.9,13.53,0.0,WEAK
2026-03-17,3113,ＵＮＩＶＡ・Ｏａｋホールディングス,10.0,96.92,16781.9,17.48,0.0,WEAK
2026-03-17,9262,シルバーライフ,9.12,81.52,1587.28,9.36,0.0,WEAK
2026-03-17,5965,フジマック,8.7,65.64,2690.82,8.1,0.0,WEAK
2026-03-17,9959,アシードホールディングス,8.53,90.17,2193.41,7.58,0.0,WEAK
2026-03-17,2286,林兼産業,8.34,72.48,1116.27,7.03,0.0,WEAK
2026-03-17,3653,モルフォ,8.3,76.54,946.56,6.89,0.0,WEAK
2026-03-17,7183,あんしん保証,8.09,52.74,634.44,6.27,0.0,WEAK
2026-03-17,6387,サムコ,7.88,53.16,396.39,5.64,0.0,WEAK
2026-03-17,212A,フィットイージー,7.8,52.04,562.18,5.41,0.0,WEAK
2026-03-17,5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,7.61,59.4,903.01,4.84,0.0,WEAK
2026-03-17,4369,トリケミカル研究所,7.6,59.64,837.44,4.81,0.0,WEAK
2026-03-17,3193,エターナルホスピタリティグループ,7.59,52.88,469.65,4.76,0.0,WEAK
2026-03-17,2929,ファーマフーズ,7.57,57.78,524.25,4.71,0.0,WEAK
2026-03-17,5352,黒崎播磨,7.54,51.58,277.73,5.3,0.0,WEAK
2026-03-17,7110,クラシコム,7.53,63.14,1864.0,4.58,0.0,WEAK
2026-03-17,1429,日本アクア,7.27,47.27,729.49,3.8,0.0,WEAK
2026-03-17,2695,くら寿司,7.17,46.0,342.61,3.51,0.0,WEAK
2026-03-17,4025,多木化学,7.08,36.39,363.35,3.23,0.0,WEAK
2026-03-17,4422,ＶＡＬＵＥＮＥＸ,7.04,53.86,309.55,3.12,1.0,WEAK
2026-03-18,5603,虹技,10.0,97.5,15663.38,17.21,0.0,NORMAL
2026-03-18,4422,ＶＡＬＵＥＮＥＸ,8.34,75.74,3845.24,7.02,0.0,NORMAL
2026-03-18,9235,売れるネット広告社グループ,8.31,72.77,791.23,6.92,0.0,NORMAL
2026-03-18,6955,ＦＤＫ,8.21,78.3,2055.19,6.64,0.0,NORMAL
2026-03-18,4888,ステラファーマ,8.09,73.83,1436.56,6.28,1.0,NORMAL
2026-03-18,4892,サイフューズ,7.79,56.21,1590.07,5.36,0.0,NORMAL
2026-03-18,446A,ノースサンド,7.78,55.07,277.56,6.01,0.0,NORMAL
2026-03-18,4929,アジュバンホールディングス,7.75,56.77,441.92,5.26,0.0,NORMAL
2026-03-18,6699,ダイヤモンドエレクトリックホールディングス,7.69,60.25,683.42,5.08,0.0,NORMAL
2026-03-18,9279,ギフトホールディングス,7.67,59.17,622.62,5.02,0.0,NORMAL
2026-03-18,2673,夢みつけ隊,7.63,66.28,1013.33,4.88,0.0,NORMAL
2026-03-18,5933,アルインコ,7.38,32.94,405.84,4.14,0.0,NORMAL
2026-03-18,5852,アーレスティ,7.36,65.08,864.13,4.08,0.0,NORMAL
2026-03-18,4346,ＮＥＸＹＺ．Ｇｒｏｕｐ,7.28,42.33,1009.77,3.85,0.0,NORMAL
2026-03-18,3070,ジェリービーンズグループ,7.28,38.52,504.16,3.83,0.0,NORMAL
2026-03-18,456A,ＨＵＭＡＮ　ＭＡＤＥ,7.25,55.82,575.94,3.75,0.0,NORMAL
2026-03-18,2983,アールプランナー,7.21,46.29,474.95,3.64,0.0,NORMAL
2026-03-18,254A,ＡＩフュージョンキャピタルグループ,7.16,54.18,623.08,3.48,0.0,NORMAL
2026-03-18,8894,ＲＥＶＯＬＵＴＩＯＮ,7.09,46.03,532.0,3.28,0.0,NORMAL
2026-03-18,3113,ＵＮＩＶＡ・Ｏａｋホールディングス,7.07,58.02,5207.51,3.22,0.0,NORMAL
2026-03-19,4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,10.0,93.1,9280.21,16.48,,PANIC
2026-03-19,2656,ベクターホールディングス,10.0,92.13,27211.11,14.51,,PANIC
2026-03-19,9237,笑美面,9.75,86.65,2783.47,11.25,,PANIC
2026-03-19,6699,ダイヤモンドエレクトリックホールディングス,9.47,81.45,5392.45,10.4,,PANIC
2026-03-19,4625,アトミクス,9.08,85.3,5802.3,9.25,,PANIC
2026-03-19,2734,サーラコーポレーション,8.15,27.93,828.68,7.07,,PANIC
2026-03-19,4813,ＡＣＣＥＳＳ,7.73,64.95,718.47,5.2,,PANIC
2026-03-19,6955,ＦＤＫ,7.64,64.56,3824.12,4.91,,PANIC
2026-03-19,5136,ｔｒｉｐｌａ,7.55,55.03,427.41,4.65,,PANIC
2026-03-19,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,7.52,51.75,767.46,4.57,,PANIC
2026-03-19,3565,アセンテック,7.42,54.16,706.98,4.26,,PANIC
2026-03-19,4512,わかもと製薬,7.24,51.67,462.17,3.71,,PANIC
2026-03-19,4880,セルソース,7.24,52.04,441.62,3.73,,PANIC
2026-03-19,5603,虹技,7.23,58.57,1100.0,3.69,,PANIC
2026-03-19,3415,ＴＯＫＹＯ　ＢＡＳＥ,7.16,38.28,298.3,3.53,,PANIC
2026-03-19,8624,いちよし証券,7.13,51.68,601.41,3.39,,PANIC
2026-03-19,9104,商船三井,7.13,45.86,607.51,3.38,,PANIC
2026-03-19,9743,丹青社,7.04,35.96,388.05,3.12,,PANIC
2026-03-19,3657,ポールトゥウィンホールディングス,6.99,49.64,280.73,3.56,,PANIC
2026-03-19,7901,マツモト,6.87,62.91,1329.78,2.61,,PANIC
