code4,name,last_close_yen
7445,ライトオン,313.0
1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,313.20001220703125
2156,セーラー広告,315.0
2667,イメージ　ワン,315.0
4735,京進,317.0
2183,リニカル,317.0
2342,トランスジェニックグループ,318.0
7354,ダイレクトマーケティングミックス,318.0
7719,東京衡機,318.0
9816,ストライダーズ,319.0
4678,秀英予備校,321.0
4477,ＢＡＳＥ,323.0
1873,日本ハウスホールディングス,325.0
7041,ＣＲＧホールディングス,325.0
6400,不二精機,326.0
4512,わかもと製薬,326.0
5133,テリロジーホールディングス,327.0
3998,すららネット,328.0
6579,ログリー,330.0
2351,ＡＳＪ,330.0
7138,ＴＯＲＩＣＯ,330.0
6664,オプトエレクトロニクス,332.0
6096,レアジョブ,333.0
4192,スパイダープラス,335.0
6147,ヤマザキ,336.0
8230,はせがわ,336.0
3674,オークファン,337.0
3671,ソフトマックス,339.0
3656,ＫＬａｂ,339.0
3159,丸善ＣＨＩホールディングス,339.0
9229,サンウェルズ,339.0
6538,ディスラプターズ,340.0
2464,Ａｏｂａ‐ＢＢＴ,340.0
1443,技研ホールディングス,341.0
4392,ＦＩＧ,341.0
6663,太洋テクノレックス,341.0
6696,トラース・オン・プロダクト,342.0
2652,まんだらけ,342.0
2250,ｉシェアーズ　ＭＳＣＩ　ジャパン気候変動アクション　ＥＴＦ,342.3999938964844
4179,ジーネクスト,343.0
2894,石井食品,344.0
4888,ステラファーマ,344.0
2990,アイダ設計,344.0
5137,スマートドライブ,345.0
7359,東京通信グループ,345.0
4448,ｋｕｂｅｌｌ,345.0
1853,森組,346.0
6428,オーイズミ,346.0
6464,ツバキ・ナカシマ,346.0
2788,アップルインターナショナル,346.0
3903,ｇｕｍｉ,346.0
9258,ＣＳ－Ｃ,350.0
1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信,350.5
3607,クラウディアホールディングス,352.0
5536,京橋アートレジデンス,352.0
7367,セルム,352.0
4707,キタック,352.0
6615,ユー・エム・シー・エレクトロニクス,354.0
9514,エフオン,355.0
9268,オプティマスグループ,356.0
9930,北沢産業,356.0
3350,メタプラネット,358.0
2936,ベースフード,359.0
8938,グローム・ホールディングス,360.0
6467,ニチダイ,360.0
2851,ｉシェアーズ　ＭＳＣＩ　ジャパンＳＲＩ　ＥＴＦ,360.79998779296875
2499,日本和装ホールディングス,362.0
1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,362.0
2620,ｉシェアーズ　米国債１－３年　ＥＴＦ,362.70001220703125
2195,アミタホールディングス,363.0
7837,アールシーコア,364.0
5269,日本コンクリート工業,365.0
2055,日和産業,367.0
7883,サンメッセ,367.0
6835,アライドテレシスホールディングス,369.0
4308,Ｊストリーム,369.0
4679,田谷,372.0
2563,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ（為替ヘッジあり）,373.8999938964844
4370,モビルス,376.0
2164,地域新聞社,377.0
7815,東京ボード工業,377.0
3042,セキュアヴェイル,377.0
4093,東邦アセチレン,378.0
9535,広島ガス,378.0
4845,スカラ,379.0
7277,ＴＢＫ,379.0
9204,スカイマーク,380.0
9885,シャルレ,381.0
6081,アライドアーキテクツ,382.0
4767,テー・オー・ダブリュー,382.0
4884,クリングルファーマ,382.0
4593,ヘリオス,383.0
3494,マリオン,385.0
4918,アイビー化粧品,385.0
6537,ＷＡＳＨハウス,385.0
2722,ＩＫホールディングス,388.0
2438,アスカネット,388.0
3976,シャノン,388.0
4936,アクシージア,388.0
8254,さいか屋,390.0
7372,デコルテ・ホールディングス,390.0
3632,グリーホールディングス,390.0
5028,セカンドサイトアナリティカ,391.0
7215,ファルテック,392.0
3858,ユビキタスＡＩ,393.0
3236,プロパスト,394.0
9212,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,394.0
9417,スマートバリュー,394.0
1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,395.3999938964844
7953,菊水化学工業,396.0
9425,ＲｅＹｕｕ　Ｊａｐａｎ,396.0
6186,一蔵,396.0
3908,コラボス,399.0
7590,タカショー,399.0
8247,大和,400.0
6522,アスタリスク,400.0
6347,プラコー,400.0
3377,バイク王＆カンパニー,400.0
6059,ウチヤマホールディングス,400.0
4366,ダイトーケミックス,400.0
6325,タカキタ,401.0
5129,ＦＩＸＥＲ,401.0
2654,アスモ,401.0
6633,ＣＧＳホールディングス,402.0
9904,ベリテ,402.0
8562,福島銀行,402.0
3415,ＴＯＫＹＯ　ＢＡＳＥ,402.0
5074,テスホールディングス,402.0
5658,日亜鋼業,402.0
2454,オールアバウト,402.0
4334,ユークス,403.0
2901,ウェルディッシュ,406.0
5386,鶴弥,406.0
4057,インターファクトリー,406.0
5563,新日本電工,408.0
3665,エニグモ,409.0
7201,日産自動車,409.1000061035156
6955,ＦＤＫ,410.0
6233,ＫＬＡＳＳ,410.0
8887,シーラホールディングス,411.0
2452,コンピュータマインド,412.0
3979,うるる,414.0
7538,大水,415.0
2492,インフォマート,415.0
3133,海帆,415.0
8897,ＭＩＲＡＲＴＨホールディングス,416.0
2334,イオレ,416.0
7078,ＩＮＣＬＵＳＩＶＥ　Ｈｏｌｄｉｎｇｓ,416.0
7585,かんなん丸,417.0
