verify_date,scan_date,code,name,score,ratio,morning_judgment,open_price,close_price,result_pct,grade,is_top20,market_condition,high_price,max_rise_pct,day1_pct,day2_pct,day3_pct,day4_pct,day5_pct,max_ret_5d,max_ret_day,exit_reason,exit_day,exit_pct
2026-03-17,2026-03-16,9556,ＩＮＴＬＯＯＰ,8.74,8.21,CAUTION,2011.0,1958.0,-2.64,FAIL,0,NORMAL,,,-2.64,-0.75,-5.97,-12.73,-12.73,-0.75,2,損切り-5%,3,-5.97
2026-03-17,2026-03-16,4438,Ｗｅｌｂｙ,8.32,6.95,PASS,375.0,355.0,-5.33,FAIL,0,NORMAL,,,-5.33,-1.87,-6.13,-10.13,-10.13,-1.87,2,損切り-5%,1,-5.33
2026-03-17,2026-03-16,4664,アール・エス・シー,8.31,6.92,CAUTION,1150.0,1140.0,-0.87,FAIL,0,NORMAL,,,-0.87,-2.43,-13.13,-22.26,-22.26,-0.87,1,損切り-5%,3,-13.13
2026-03-17,2026-03-16,4934,プレミアアンチエイジング,8.05,6.15,CAUTION,655.0,643.0,-1.83,FAIL,0,NORMAL,,,-1.83,-1.07,-5.34,-8.09,-8.09,-1.07,2,損切り-5%,3,-5.34
2026-03-17,2026-03-16,4979,ＯＡＴアグリオ,7.95,5.85,PASS,2990.0,2954.0,-1.2,FAIL,0,NORMAL,,,-1.2,-5.65,-7.69,-7.59,-7.59,-1.2,1,損切り-5%,2,-5.65
2026-03-17,2026-03-16,7743,シード,7.86,5.59,PASS,623.0,589.0,-5.46,FAIL,0,NORMAL,,,-5.46,-8.67,-8.35,-0.32,-0.32,-0.32,4,損切り-5%,1,-5.46
2026-03-17,2026-03-16,1433,ベステラ,7.81,5.43,PASS,1163.0,1176.0,1.12,FLAT,0,NORMAL,,,1.12,4.04,1.29,-1.89,-1.89,4.04,2,利確+3%,2,4.04
2026-03-17,2026-03-16,4031,片倉コープアグリ,7.8,5.39,PASS,1252.0,1233.0,-1.52,FAIL,0,NORMAL,,,-1.52,-5.67,-10.14,-4.95,-4.95,-1.52,1,損切り-5%,2,-5.67
2026-03-17,2026-03-16,9130,共栄タンカー,7.7,5.11,PASS,2224.0,2378.0,6.92,S,1,NORMAL,,,6.92,7.06,6.83,4.27,4.27,7.06,2,利確+3%,1,6.92
2026-03-17,2026-03-16,4890,坪田ラボ,7.67,8.83,PASS,414.0,408.0,-1.45,FAIL,0,NORMAL,,,-1.45,-7.97,-13.77,-18.36,-18.36,-1.45,1,損切り-5%,2,-7.97
2026-03-17,2026-03-16,2929,ファーマフーズ,7.64,4.93,PASS,682.0,675.0,-1.03,FAIL,0,NORMAL,,,-1.03,3.08,-2.05,-4.99,-4.99,3.08,2,利確+3%,2,3.08
2026-03-17,2026-03-16,3803,イメージ情報開発,7.57,4.71,PASS,658.0,748.0,13.68,S,1,NORMAL,,,13.68,10.18,11.85,34.65,34.65,34.65,4,利確+3%,1,13.68
2026-03-17,2026-03-16,9514,エフオン,7.55,4.66,PASS,387.0,388.0,0.26,FLAT,0,NORMAL,,,0.26,0.78,-4.13,-11.63,-11.63,0.78,2,損切り-5%,4,-11.63
