buy_date,code,name,today_rise,buy_price,score,ratio,market_condition,next_rise,next_open,next_close,rebound_score,rebound_reason
2026-03-18,7383,ネットプロテクションズホールディングス,-5.11,390.0,-2.13,0.54,NORMAL,-6.9,377.0,351.0,8.0,RSIやや低め(33) / 出来高急増(3.6倍)売り枯れ示唆 / MA25大幅下離れ(-19.2%)
2026-03-19,4422,ＶＡＬＵＥＮＥＸ,-14.41,475.0,7.61,5.88,PANIC,1.61,435.0,442.0,3.0,出来高急増(8.1倍)売り枯れ示唆
2026-03-19,4341,西菱電機,-14.29,858.0,6.73,2.19,PANIC,2.53,830.0,851.0,6.0,RSIやや低め(39) / 出来高急増(38.5倍)売り枯れ示唆 / MA25やや下離れ(-6.7%)
2026-03-19,4893,ノイルイミューン・バイオテック,-14.12,152.0,2.07,3.46,PANIC,-1.39,144.0,142.0,4.0,RSI中立(46) / 出来高増加(2.1倍) / MA25やや下離れ(-6.7%)
2026-03-19,5304,ＳＥＣカーボン,-12.11,2619.0,-3.81,0.42,PANIC,1.32,2503.0,2536.0,7.0,RSIやや低め(36) / 出来高急増(6.7倍)売り枯れ示唆 / MA25下離れ(-10.0%)
2026-03-19,6335,東京機械製作所,-11.48,532.0,1.44,0.71,PANIC,-1.32,529.0,522.0,3.0,出来高急増(39.1倍)売り枯れ示唆
2026-03-19,6072,地盤ネットホールディングス,-10.44,798.0,-1.85,0.25,PANIC,2.52,753.0,772.0,5.0,RSI売られ過ぎ(29) / MA25下離れ(-10.1%)
2026-03-19,6721,ウインテスト,-9.92,109.0,-0.51,0.34,PANIC,0.0,101.0,101.0,4.0,RSIやや低め(36) / 出来高やや増(1.7倍) / MA25やや下離れ(-8.8%)
2026-03-19,9888,ＵＥＸ,-9.55,805.0,3.85,1.3,PANIC,-1.78,730.0,717.0,5.0,RSI中立(42) / 出来高急増(3.2倍)売り枯れ示唆 / MA25やや下離れ(-5.6%)
2026-03-19,264A,Ｓｃｈｏｏ,-9.33,476.0,1.11,1.08,PANIC,-3.87,465.0,447.0,5.0,RSI中立(44) / 出来高やや増(1.9倍) / MA25大幅下離れ(-21.5%)
2026-03-19,9959,アシードホールディングス,-9.17,1149.0,1.45,1.2,PANIC,4.04,1090.0,1134.0,4.0,RSI中立(45) / 出来高急増(6.6倍)売り枯れ示唆
