datetime,time,open,high,low,close,volume
2026-03-27 14:53:00+09:00,14:53,789.0,789.0,787.0,788.0,700
2026-03-27 14:54:00+09:00,14:54,788.0,789.0,786.0,786.0,3100
2026-03-27 14:55:00+09:00,14:55,786.0,789.0,786.0,788.0,1600
2026-03-27 14:56:00+09:00,14:56,789.0,789.0,789.0,789.0,400
2026-03-27 14:57:00+09:00,14:57,790.0,793.0,788.0,788.0,1500
2026-03-27 14:58:00+09:00,14:58,788.0,792.0,788.0,791.0,700
2026-03-27 14:59:00+09:00,14:59,792.0,795.0,792.0,793.0,700
2026-03-27 15:00:00+09:00,15:00,790.0,790.0,789.0,790.0,600
2026-03-27 15:01:00+09:00,15:01,790.0,790.0,790.0,790.0,200
2026-03-27 15:02:00+09:00,15:02,791.0,791.0,788.0,788.0,2100
2026-03-27 15:03:00+09:00,15:03,789.0,789.0,786.0,786.0,2500
2026-03-27 15:04:00+09:00,15:04,786.0,786.0,780.0,782.0,6200
2026-03-27 15:05:00+09:00,15:05,782.0,782.0,775.0,776.0,9100
2026-03-27 15:06:00+09:00,15:06,775.0,777.0,772.0,774.0,4400
2026-03-27 15:07:00+09:00,15:07,772.0,777.0,771.0,772.0,5400
2026-03-27 15:08:00+09:00,15:08,773.0,773.0,760.0,760.0,20400
2026-03-27 15:09:00+09:00,15:09,760.0,761.0,753.0,755.0,20700
2026-03-27 15:10:00+09:00,15:10,754.0,755.0,753.0,755.0,12800
2026-03-27 15:11:00+09:00,15:11,755.0,756.0,753.0,755.0,8800
2026-03-27 15:12:00+09:00,15:12,754.0,756.0,753.0,755.0,6400
2026-03-27 15:13:00+09:00,15:13,756.0,759.0,753.0,757.0,4900
2026-03-27 15:14:00+09:00,15:14,755.0,757.0,754.0,757.0,3500
2026-03-27 15:15:00+09:00,15:15,757.0,757.0,755.0,756.0,2300
2026-03-27 15:16:00+09:00,15:16,755.0,757.0,754.0,754.0,3300
2026-03-27 15:17:00+09:00,15:17,754.0,755.0,753.0,754.0,11800
2026-03-27 15:18:00+09:00,15:18,753.0,756.0,753.0,756.0,8200
2026-03-27 15:19:00+09:00,15:19,755.0,756.0,753.0,753.0,3200
2026-03-27 15:20:00+09:00,15:20,753.0,754.0,753.0,753.0,2700
2026-03-27 15:21:00+09:00,15:21,753.0,753.0,753.0,753.0,1800
